T_K,dIW_dex,rank1,rank2,rank3,rank4,P_total_bar,p_H2O_bar,p_CO2_bar,p_O2_bar,p_H2_bar,p_CO_bar,p_CH4_bar,p_N2_bar,p_NH3_bar,p_S2_bar,p_SO2_bar,p_H2S_bar
1607.142857142857,-1.5454545454545454,CO,CO2,H2,CH4,1346.8623729330477,4.8699498397470835,46.85775296340914,7.251293011786479e-13,40.93918494136393,1220.9618972082383,27.136604122251278,5.939681727053852,0.029533820852051446,7.205240195555011e-07,5.429386981117819e-08,0.12776753531355128
1607.142857142857,-0.7272727272727271,CO,CO2,H2,N2,1380.334766391954,5.418988138172045,120.81592231702034,4.770866594181568e-12,17.759960490420895,1227.3089950630774,2.0013451940459235,6.878302499609089,0.009080983566464884,4.740166689358025e-06,9.162314412107258e-07,0.14216604963882193
1607.142857142857,0.09090909090909083,CO,CO2,N2,H2,1430.794729269862,5.528154781243236,284.33368090379616,3.1389116427209364e-11,7.063388274166745,1126.074546173308,0.11323651310259275,7.534256800707667,0.002383796020661588,3.118943714461135e-05,1.5463007649142564e-05,0.14503537504073138
1607.142857142857,0.9090909090909092,CO,CO2,N2,H2O,1510.2362528134177,5.56353774494048,587.0364539966182,2.065194259010579e-10,2.771360454255522,906.3855984517943,0.005470176055435587,8.32677688945227,0.0006158958083285763,0.00020523189230946815,0.0002609723191414682,0.14597300007524688
1607.142857142857,1.7272727272727275,CO2,CO,N2,H2O,1598.5637903180884,5.577950929669769,987.884947977628,1.3587599183751218e-09,1.0832426651525717,594.6526855474808,0.00021375991405914022,9.212479333869627,0.000158309202037126,0.0013503968354013464,0.004404377589197437,0.14635701938795323
1607.142857142857,2.545454545454546,CO2,CO,N2,H2O,1666.9873781057768,5.5840488470669065,1337.0673390492727,8.939732946320017e-09,0.4227750671866353,313.7757580528013,6.6982072413579595e-06,9.907751076063512,4.0029563574856066e-05,0.008879402184371585,0.07430662228453042,0.1464732522062514
1607.142857142857,3.363636363636364,CO2,CO,N2,H2O,1708.3204391235506,5.586580366950865,1549.0861038195053,5.8817473249498205e-08,0.16489796659005498,141.72640014562728,1.7943654815370813e-07,10.304986103170918,9.944338901642496e-06,0.05784377083695499,1.2478022752395397,0.14581449303668442
1607.142857142857,4.181818181818182,CO2,CO,SO2,N2,1753.310965000978,5.587781717060993,1657.9863704954691,3.869796984125253e-07,0.06430100676133436,59.13781101627663,4.438532772050581e-09,10.537724509136002,2.44866481184734e-06,0.3274858142321172,19.53419591487838,0.13529168708001177
1607.142857142857,5.0,CO2,SO2,CO,N2,1942.2434401388107,5.589351444541976,1747.1679972929276,2.5460680085356603e-06,0.025075456557860434,24.295623343399907,1.0811189393752705e-10,10.934181368965524,6.074292085498317e-07,0.4683646280298148,153.6997480087836,0.06309544199893481
1714.2857142857142,-4.0,CO,CH4,H2,CO2,1165.3861681948915,0.6227836388397692,1.594274134745275,3.175338287183985e-14,81.2362510347714,725.1399352662233,356.5655761491213,0.20489170376574414,0.012078573594168664,4.030053947329272e-09,3.2768917617935456e-11,0.010377689767716433
1714.2857142857142,-3.1818181818181817,CO,CH4,H2,CO2,1239.8123464944535,1.8152927801821783,5.148387291160963,2.0891605586655988e-13,92.31418706434245,912.9334578827908,225.99714729677478,1.5335991075817181,0.040030153120521196,2.6507965652320898e-08,5.529383146156676e-10,0.030244891439091294
1714.2857142857142,-2.3636363636363633,CO,H2,CH4,CO2,1316.7681445000687,3.874056483098397,16.47860137511461,1.3745281431902642e-12,76.80629366606618,1139.1931192234888,76.1074192104029,4.193883247608047,0.050237964438745474,1.74333680489076e-07,9.329555498427143e-09,0.06453314618625666
1714.2857142857142,-1.5454545454545454,CO,CO2,H2,CH4,1353.7434887480422,5.149080641142112,46.291417873922896,9.043477336317503e-12,39.798769477149385,1247.6322120727707,8.72511147256564,6.038646962158816,0.02248552024497822,1.146764317088091e-06,1.5743062030954763e-07,0.08576342388365998
1714.2857142857142,-0.7272727272727271,CO,CO2,H2,N2,1379.392387747645,5.449367250416457,117.31177347851258,5.95000420600101e-11,16.420830541546014,1232.6415055679079,0.5721122315560094,6.899653975928413,0.006369934811697779,7.544868296043569e-06,2.6568055568387116e-06,0.0907645652322413
1714.2857142857142,0.09090909090909083,CO,CO2,N2,H2,1428.1498111514102,5.533185731252504,276.36393105403295,3.9147054539803227e-10,6.500299709911657,1132.1022129655014,0.03210078845548246,7.524166778794064,0.0016567536340548737,4.964261349444083e-05,4.483767412658391e-05,0.0921628891490431
1714.2857142857142,0.9090909090909092,CO,CO2,N2,H2O,1506.1515106927054,5.565087967782701,573.5940147873109,2.5756147829218535e-09,2.5488205347378203,916.0474702225188,0.0015569292699444699,8.300352030218448,0.00042725366364236437,0.00032663883573665276,0.0007567135056441289,0.09269761228624597
1714.2857142857142,1.7272727272727275,CO2,CO,N2,H2O,1593.268391813549,5.578606306105276,972.1328672339167,1.6945825396034743e-08,0.9960979081766334,605.268519112729,6.125388264680503e-05,9.184290684306449,0.00010980054756575653,0.002148958077020521,0.012770072576450736,0.0929204662856571
1714.2857142857142,2.545454545454546,CO2,CO,N2,H2O,1660.9794736938866,5.584435193116722,1323.5285474757043,1.1149221547297252e-07,0.38874486098354594,321.2660722063005,1.930566456920344e-06,9.889278835353313,2.7778446604178448e-05,0.014113506814528214,0.21531717876930165,0.09293461633935643
1714.2857142857142,3.363636363636364,CO2,CO,N2,H2O,1704.9375685936016,5.586903382234016,1539.4489307775318,7.335443285034924e-07,0.15162319972328597,145.68201096518257,5.192026543820593e-08,10.302380002567155,6.9063076694899374e-06,0.09031851947515415,3.5836982552645633,0.09169579985076053
1714.2857142857142,4.181818181818182,CO2,CO,SO2,N2,1787.9042629093594,5.5883002494786895,1660.2949194027062,4.8262318548157226e-06,0.05912665624861426,61.25407292884435,1.2942267218114096e-09,10.613589519392685,1.7070049324882129e-06,0.39998758104863436,49.619010825552195,0.07524921155743321
1714.2857142857142,5.0,CO2,SO2,CO,N2,2016.4817448560916,5.589886607472545,1757.4170344483557,3.175338287183985e-05,0.023057683653866345,25.27747298373685,3.1665244902429117e-11,11.06568658003416,4.244644773108478e-07,0.1765858046641414,216.91249062032736,0.01949794996777495
1821.4285714285716,-4.0,CO,CH4,H2,CO2,1200.3756234115076,0.9489290682202145,1.6825986462337612,2.942918501385679e-13,114.93778491265071,788.4596183491481,294.0930821533472,0.22573622615673075,0.017286665064229857,6.070065816786447e-09,8.381239838864368e-11,0.010587384532813307
